,Crop,Soil,Temperature,Soil_Texture,Soil_Colour,Drainage,Water_holding_capacity,Sunlight,Yield
881,Tomato,Red,36,Sandy,Red,High,Low,low,Good
882,Potato,Red,36,Sandy,Red,High,Low,low,Average
883,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
884,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
885,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
886,Tomato,Red,38,Sandy,Red,High,Low,low,Good
887,Potato,Red,39,Sandy,Red,High,Low,low,Average
888,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
889,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
890,Chilli,Red,35,Sandy,Red,High,Low,low,Poor
891,Tomato,Red,36,Sandy,Red,High,Low,low,Good
892,Potato,Red,37,Sandy,Red,High,Low,low,Average
893,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
894,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
895,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
896,Tomato,Red,37,Sandy,Red,High,Low,low,Good
897,Potato,Red,37,Sandy,Red,High,Low,low,Average
898,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
899,Tomato,Alluvial,39,Loamy,Brown,Medium,Medium,low,Good
900,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
901,Tomato,Red,36,Sandy,Red,High,Low,low,Good
902,Potato,Red,37,Sandy,Red,High,Low,low,Average
903,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
904,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
905,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
906,Tomato,Red,37,Sandy,Red,High,Low,low,Good
907,Potato,Red,35,Sandy,Red,High,Low,low,Average
908,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
909,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
910,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
911,Tomato,Red,36,Sandy,Red,High,Low,low,Good
912,Potato,Red,37,Sandy,Red,High,Low,low,Average
913,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
914,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
915,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
916,Tomato,Red,37,Sandy,Red,High,Low,low,Good
917,Potato,Red,38,Sandy,Red,High,Low,low,Average
918,Chilli,Alluvial,39,Loamy,Brown,Medium,Medium,low,Good
919,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
920,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
921,Tomato,Red,37,Sandy,Red,High,Low,low,Good
922,Potato,Red,38,Sandy,Red,High,Low,low,Average
923,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
924,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
925,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
926,Tomato,Red,36,Sandy,Red,High,Low,low,Good
927,Potato,Red,38,Sandy,Red,High,Low,low,Average
928,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
929,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
930,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
931,Tomato,Red,37,Sandy,Red,High,Low,low,Good
932,Potato,Red,38,Sandy,Red,High,Low,low,Average
933,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
934,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
935,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
936,Tomato,Red,37,Sandy,Red,High,Low,low,Good
937,Potato,Red,38,Sandy,Red,High,Low,low,Average
938,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
939,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
940,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
941,Tomato,Red,37,Sandy,Red,High,Low,low,Good
942,Potato,Red,37,Sandy,Red,High,Low,low,Average
943,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
944,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
945,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
946,Tomato,Red,37,Sandy,Red,High,Low,low,Good
947,Potato,Red,38,Sandy,Red,High,Low,low,Average
948,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
949,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
950,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
951,Tomato,Red,37,Sandy,Red,High,Low,low,Good
952,Potato,Red,37,Sandy,Red,High,Low,low,Average
953,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
954,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
955,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
956,Tomato,Red,36,Sandy,Red,High,Low,low,Good
957,Potato,Red,36,Sandy,Red,High,Low,low,Average
958,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
959,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
960,Chilli,Red,38,Sandy,Red,High,Low,low,Poor
961,Tomato,Red,38,Sandy,Red,High,Low,low,Good
962,Potato,Red,37,Sandy,Red,High,Low,low,Average
963,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
964,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
965,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
966,Tomato,Red,36,Sandy,Red,High,Low,low,Good
967,Potato,Red,36,Sandy,Red,High,Low,low,Average
968,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
969,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
970,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
971,Tomato,Red,36,Sandy,Red,High,Low,low,Good
972,Potato,Red,36,Sandy,Red,High,Low,low,Average
973,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
974,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
975,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
976,Tomato,Red,37,Sandy,Red,High,Low,low,Good
977,Potato,Red,36,Sandy,Red,High,Low,low,Average
978,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
979,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
980,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
981,Tomato,Red,36,Sandy,Red,High,Low,low,Good
982,Potato,Red,36,Sandy,Red,High,Low,low,Average
983,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
984,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
985,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
986,Tomato,Red,36,Sandy,Red,High,Low,low,Good
987,Potato,Red,36,Sandy,Red,High,Low,low,Average
988,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
989,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
990,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
991,Tomato,Red,36,Sandy,Red,High,Low,low,Good
992,Potato,Red,36,Sandy,Red,High,Low,low,Average
993,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
994,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
995,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
996,Tomato,Red,36,Sandy,Red,High,Low,low,Good
997,Potato,Red,37,Sandy,Red,High,Low,low,Average
998,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
999,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1000,Chilli,Red,34,Sandy,Red,High,Low,low,Poor
1001,Tomato,Red,35,Sandy,Red,High,Low,low,Good
1002,Potato,Red,34,Sandy,Red,High,Low,low,Average
1003,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1004,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
1005,Chilli,Red,34,Sandy,Red,High,Low,low,Poor
1006,Tomato,Red,34,Sandy,Red,High,Low,low,Good
1007,Potato,Red,34,Sandy,Red,High,Low,low,Average
1008,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1009,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1010,Chilli,Red,34,Sandy,Red,High,Low,low,Poor
1011,Tomato,Red,35,Sandy,Red,High,Low,low,Good
1012,Potato,Red,35,Sandy,Red,High,Low,low,Average
1013,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
1014,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1015,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
1016,Tomato,Red,36,Sandy,Red,High,Low,low,Good
1017,Potato,Red,33,Sandy,Red,High,Low,low,Average
1018,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
1019,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
1020,Chilli,Red,35,Sandy,Red,High,Low,low,Poor
1021,Tomato,Red,34,Sandy,Red,High,Low,low,Good
1022,Potato,Red,36,Sandy,Red,High,Low,low,Average
1023,Chilli,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
1024,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
1025,Chilli,Red,35,Sandy,Red,High,Low,low,Poor
1026,Tomato,Red,35,Sandy,Red,High,Low,low,Good
1027,Potato,Red,34,Sandy,Red,High,Low,low,Average
1028,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1029,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
1030,Chilli,Red,35,Sandy,Red,High,Low,low,Poor
1031,Tomato,Red,34,Sandy,Red,High,Low,low,Good
1032,Potato,Red,34,Sandy,Red,High,Low,low,Average
1033,Chilli,Alluvial,33,Loamy,Brown,Medium,Medium,low,Good
1034,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1035,Chilli,Red,33,Sandy,Red,High,Low,low,Poor
1036,Tomato,Red,33,Sandy,Red,High,Low,low,Good
1037,Potato,Red,34,Sandy,Red,High,Low,low,Average
1038,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1039,Tomato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Good
1040,Chilli,Red,35,Sandy,Red,High,Low,low,Poor
1041,Tomato,Red,35,Sandy,Red,High,Low,low,Good
1042,Potato,Red,36,Sandy,Red,High,Low,low,Average
1043,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1044,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1045,Chilli,Red,34,Sandy,Red,High,Low,low,Poor
1046,Tomato,Red,35,Sandy,Red,High,Low,low,Good
1047,Potato,Red,36,Sandy,Red,High,Low,low,Average
1048,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1049,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1050,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
1051,Tomato,Red,37,Sandy,Red,High,Low,low,Good
1052,Potato,Red,36,Sandy,Red,High,Low,low,Average
1053,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1054,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1055,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
1056,Tomato,Red,36,Sandy,Red,High,Low,low,Good
1057,Potato,Red,37,Sandy,Red,High,Low,low,Average
1058,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1059,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1060,Chilli,Red,35,Sandy,Red,High,Low,low,Poor
1061,Tomato,Red,36,Sandy,Red,High,Low,low,Good
1062,Potato,Red,36,Sandy,Red,High,Low,low,Average
1063,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
1064,Tomato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1065,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
1066,Tomato,Red,35,Sandy,Red,High,Low,low,Good
1067,Potato,Red,36,Sandy,Red,High,Low,low,Average
1068,Chilli,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
1069,Tomato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
1070,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
1071,Tomato,Red,36,Sandy,Red,High,Low,low,Good
1072,Potato,Red,37,Sandy,Red,High,Low,low,Average
1073,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
1074,Tomato,Alluvial,37,Loamy,Brown,Medium,Medium,low,Good
1075,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
1076,Tomato,Red,36,Sandy,Red,High,Low,low,Good
1077,Potato,Red,37,Sandy,Red,High,Low,low,Average
1078,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
1079,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1080,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
1081,Tomato,Red,37,Sandy,Red,High,Low,low,Good
1082,Potato,Red,38,Sandy,Red,High,Low,low,Average
1083,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1084,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1085,Chilli,Red,37,Sandy,Red,High,Low,low,Poor
1086,Tomato,Red,35,Sandy,Red,High,Low,low,Good
1087,Potato,Red,35,Sandy,Red,High,Low,low,Average
1088,Chilli,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1089,Tomato,Alluvial,35,Loamy,Brown,Medium,Medium,low,Good
1090,Chilli,Red,36,Sandy,Red,High,Low,low,Poor
1091,Tomato,Red,35,Sandy,Red,High,Low,low,Good
1092,Potato,Red,37,Sandy,Red,High,Low,low,Average
1093,Chilli,Alluvial,38,Loamy,Brown,Medium,Medium,low,Good
1094,Tomato,Alluvial,33,Loamy,Brown,Medium,Medium,low,Good
1095,Chilli,Red,34,Sandy,Red,High,Low,low,Poor
1096,Tomato,Red,34,Sandy,Red,High,Low,low,Good
1097,Potato,Red,35,Sandy,Red,High,Low,low,Average
1098,Chilli,Alluvial,36,Loamy,Brown,Medium,Medium,low,Good
1099,Tomato,Alluvial,31,Loamy,Brown,Medium,Medium,low,Good
1100,Chilli,Black,31,Clayey,Black,Low,High,low,Average
1101,Tomato,Black,31,Clayey,Black,Low,High,low,Good
1102,Potato,Black,33,Clayey,Black,Low,High,low,Poor
1103,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low,Poor
1104,Chilli,Black,36,Clayey,Black,Low,High,low,Average
1105,Tomato,Black,36,Clayey,Black,Low,High,low,Good
1106,Potato,Black,36,Clayey,Black,Low,High,low,Poor
1107,Potato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Poor
1108,Chilli,Black,33,Clayey,Black,Low,High,low-,Average
1109,Tomato,Black,33,Clayey,Black,Low,High,low-,Good
1110,Potato,Black,33,Clayey,Black,Low,High,low-,Poor
1111,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,nor-,Poor
1112,Chilli,Black,27,Clayey,Black,Low,High,nor-,Average
1113,Tomato,Black,27,Clayey,Black,Low,High,nor-,Good
1114,Potato,Black,27,Clayey,Black,Low,High,low,Poor
1115,Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low,Poor
1116,Chilli,Black,27,Clayey,Black,Low,High,low,Average
1117,Tomato,Black,27,Clayey,Black,Low,High,low-,Good
1118,Potato,Black,27,Clayey,Black,Low,High,low-,Poor
1119,Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low-,Poor
1120,Chilli,Black,28,Clayey,Black,Low,High,low,Average
1121,Tomato,Black,28,Clayey,Black,Low,High,low,Good
1122,Potato,Black,28,Clayey,Black,Low,High,low,Poor
1123,Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Poor
1124,Chilli,Black,28,Clayey,Black,Low,High,low,Average
1125,Tomato,Black,28,Clayey,Black,Low,High,low,Good
1126,Potato,Black,28,Clayey,Black,Low,High,low,Poor
1127,Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Poor
1128,Chilli,Black,26,Clayey,Black,Low,High,nor-,Average
1129,Tomato,Black,26,Clayey,Black,Low,High,nor-,Good
1130,Potato,Black,26,Clayey,Black,Low,High,nor-,Poor
1131,Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Poor
1132,Chilli,Black,30,Clayey,Black,Low,High,nor,Average
1133,Tomato,Black,30,Clayey,Black,Low,High,nor,Good
1134,Potato,Black,30,Clayey,Black,Low,High,nor,Poor
1135,Potato,Alluvial,30,Loamy,Brown,Medium,Medium,nor,Poor
1136,Chilli,Black,30,Clayey,Black,Low,High,low,Average
1137,Tomato,Black,30,Clayey,Black,Low,High,low,Good
1138,Potato,Black,30,Clayey,Black,Low,High,nor,Poor
1139,Potato,Alluvial,32,Loamy,Brown,Medium,Medium,nor,Poor
1140,Chilli,Black,33,Clayey,Black,Low,High,low-,Average
1141,Tomato,Black,33,Clayey,Black,Low,High,low-,Good
1142,Potato,Black,33,Clayey,Black,Low,High,low-,Poor
1143,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Poor
1144,Chilli,Black,25,Clayey,Black,Low,High,low-,Poor
1145,Tomato,Black,24,Clayey,Black,Low,High,low-,Good
1146,Potato,Black,25,Clayey,Black,Low,High,low-,Poor
1147,Potato,Alluvial,25,Loamy,Brown,Medium,Medium,low-,Average
1148,Potato,Black,25,Clayey,Black,Low,High,low-,Average
1149,Chilli,Black,25,Clayey,Black,Low,High,low-,Poor
1150,Tomato,Black,30,Clayey,Black,Low,High,low-,Poor
1151,Potato,Alluvial,30,Loamy,Brown,Medium,Medium,low-,Poor
1152,Potato,Black,30,Clayey,Black,Low,High,hgh,Average
1153,Chilli,Black,30,Clayey,Black,Low,High,hgh,Good
1154,Tomato,Black,30,Clayey,Black,Low,High,hgh,Good
1155,Potato,Alluvial,30,Loamy,Brown,Medium,Medium,hgh,Poor
1156,Potato,Black,34,Clayey,Black,Low,High,low,Average
1157,Chilli,Black,34,Clayey,Black,Low,High,low,Average
1158,Tomato,Black,34,Clayey,Black,Low,High,low,Poor
1159,Potato,Alluvial,34,Loamy,Brown,Medium,Medium,low,Poor
1160,Potato,Black,34,Clayey,Black,Low,High,low,Average
1161,Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
1162,Tomato,Black,26,Clayey,Black,Low,High,nor-,Average
1163,Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Poor
1164,Potato,Black,26,Clayey,Black,Low,High,nor-,Average
1165,Chilli,Black,31,Clayey,Black,Low,High,low,Average
1166,Tomato,Black,31,Clayey,Black,Low,High,low,Good
1167,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low,Poor
1168,Potato,Black,33,Clayey,Black,Low,High,low,Poor
1169,Chilli,Black,36,Clayey,Black,Low,High,low,Average
1170,Tomato,Black,36,Clayey,Black,Low,High,low,Good
1171,Potato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Poor
1172,Potato,Black,36,Clayey,Black,Low,High,low,Poor
1173,Chilli,Black,27,Clayey,Black,Low,High,low-,Poor
1174,Tomato,Black,28,Clayey,Black,Low,High,low,Average
1175,Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Good
1176,Potato,Black,28,Clayey,Black,Low,High,low,Poor
1177,Chilli,Black,28,Clayey,Black,Low,High,low,Poor
1178,Tomato,Black,28,Clayey,Black,Low,High,low,Average
1179,Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Good
1180,Potato,Black,28,Clayey,Black,Low,High,low,Poor
1181,Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
1182,Tomato,Black,26,Clayey,Black,Low,High,nor-,Average
1183,Potato,Black,26,Clayey,Brown,Medium,Medium,nor-,Good
1184,Potato,Alluvial,26,Loamy,Black,Low,High,nor-,Poor
1185,Chilli,Black,26,Clayey,Black,Low,High,nor-,Average
1186,Tomato,Black,30,Clayey,Black,Low,High,nor,Good
1187,Potato,Black,30,Clayey,Black,Low,High,nor,Poor
1188,Potato,Alluvial,28,Loamy,Brown,Medium,Medium,nor,Poor
1189,Chilli,Black,28,Clayey,Black,Low,High,low,Average
1190,Tomato,Black,28,Clayey,Black,Low,High,low,Good
1191,Potato,Black,28,Clayey,Black,Low,High,low,Poor
1192,Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Poor
1193,Potato,Black,28,Clayey,Black,Low,High,low,Poor
1194,Chilli,Black,35,Clayey,Black,Low,High,low-,Average
1195,Tomato,Black,35,Clayey,Black,Low,High,low-,Good
1196,Potato,Alluvial,35,Loamy,Brown,Medium,Medium,low-,Poor
1197,Potato,Black,35,Clayey,Black,Low,High,low-,Poor
1198,Chilli,Black,33,Clayey,Black,Low,High,low-,Average
1199,Tomato,Black,33,Clayey,Black,Low,High,low-,Good
1200,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Poor
1201,Potato,Black,33,Clayey,Black,Low,High,low-,Poor
1202,Chilli,Black,33,Clayey,Black,Low,High,hgh,Good
1203,Tomato,Black,33,Clayey,Black,Low,High,hgh,Poor
1204,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,hgh,Poor
1205,Potato,Black,33,Clayey,Black,Low,High,hgh,Average
1206,Chilli,Black,31,Clayey,Black,Low,High,hgh,Good
1207,Tomato,Black,31,Clayey,Black,Low,High,hgh,Poor
1208,Potato,Alluvial,31,Loamy,Brown,Medium,Medium,hgh,Poor
1209,Potato,Black,31,Clayey,Black,Low,High,hgh,Average
1210,Chilli,Black,33,Clayey,Black,Low,High,low,Average
1211,Tomato,Black,33,Clayey,Black,Low,High,low,Good
1212,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low,Poor
1213,Potato,Black,33,Clayey,Black,Low,High,low,Poor
1214,Chilli,Black,36,Clayey,Black,Low,High,low,Average
1215,Tomato,Black,36,Clayey,Black,Low,High,low,Good
1216,Potato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Poor
1217,Potato,Black,36,Clayey,Black,Low,High,low,Poor
1218,Chilli,Black,34,Clayey,Black,Low,High,hgh,Average
1219,Tomato,Black,34,Clayey,Black,Low,High,hgh,Good
1220,Potato,Alluvial,34,Loamy,Brown,Medium,Medium,hgh,Poor
1221,Potato,Black,34,Clayey,Black,Low,High,hgh,Poor
1222,Chilli,Black,28,Clayey,Black,Low,High,low,Average
1223,Tomato,Black,28,Clayey,Black,Low,High,low,Good
1224,Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Poor
1225,Potato,Black,36,Clayey,Black,Low,High,low,Poor
1226,Chilli,Black,27,Clayey,Black,Low,High,low,Average
1227,Tomato,Black,27,Clayey,Black,Low,High,low,Good
1228,Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low,Poor
1229,Potato,Black,27,Clayey,Black,Low,High,low,Poor
1230,Chilli,Black,27,Clayey,Black,Low,High,low-,Poor
1231,Tomato,Black,28,Clayey,Black,Low,High,low,Average
1232,Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Good
1233,Potato,Black,28,Clayey,Black,Low,High,low,Poor
1234,Chilli,Black,28,Clayey,Black,Low,High,low,Poor
1235,Tomato,Black,28,Clayey,Black,Low,High,low,Average
1236,Potato,Alluvial,28,Loamy,Brown,Medium,Medium,low,Good
1237,Potato,Black,28,Clayey,Black,Low,High,low,Poor
1238,Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
1239,Tomato,Black,26,Clayey,Black,Low,High,nor-,Average
1240,Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Good
1241,Potato,Black,26,Clayey,Black,Low,High,nor-,Poor
1242,Chilli,Black,30,Clayey,Black,Low,High,nor-,Poor
1243,Tomato,Black,30,Clayey,Black,Low,High,nor,Average
1244,Potato,Alluvial,30,Loamy,Brown,Medium,Medium,nor,Poor
1245,Potato,Black,38,Clayey,Black,Low,High,nor,Poor
1246,Chilli,Black,38,Clayey,Black,Low,High,nor,Average
1247,Tomato,Black,38,Clayey,Black,Low,High,low,Good
1248,Potato,Alluvial,38,Loamy,Brown,Medium,Medium,low,Poor
1249,Potato,Black,38,Clayey,Black,Low,High,low,Poor
1250,Chilli,Black,29,Clayey,Black,Low,High,low,Average
1251,Tomato,Black,20,Clayey,Black,Low,High,low,Good
1252,Potato,Alluvial,29,Loamy,Brown,Medium,Medium,low,Poor
1253,Potato,Black,29,Clayey,Black,Low,High,low,Poor
1254,Chilli,Black,33,Clayey,Black,Low,High,low-,Average
1255,Tomato,Black,33,Clayey,Black,Low,High,low-,Good
1256,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Poor
1257,Potato,Black,33,Clayey,Black,Low,High,low-,Poor
1258,Chilli,Black,25,Clayey,Black,Low,High,low,Average
1259,Tomato,Black,25,Clayey,Black,Low,High,low-,Good
1260,Potato,Alluvial,25,Loamy,Brown,Medium,Medium,low,Poor
1261,Potato,Black,25,Clayey,Black,Low,High,low-,Poor
1262,Chilli,Black,27,Clayey,Black,Low,High,low-,Average
1263,Tomato,Black,27,Clayey,Black,Low,High,nor,Good
1264,Potato,Black,27,Clayey,Black,Low,High,low,Poor
1265,Potato,Alluvial,27,Loamy,Brown,Medium,Medium,low,Poor
1266,Chilli,Black,40,Clayey,Black,Low,High,low,Good
1267,Tomato,Black,40,Clayey,Black,Low,High,low,Good
1268,Potato,Black,40,Clayey,Black,Low,High,low,Poor
1269,Potato,Alluvial,40,Loamy,Brown,Medium,Medium,low,Poor
1270,Chilli,Black,38,Clayey,Black,Low,High,hgh,Good
1271,Tomato,Black,38,Clayey,Black,Low,High,hgh,Good
1272,Potato,Black,38,Clayey,Black,Low,High,hgh,Poor
1273,Potato,Alluvial,38,Loamy,Brown,Medium,Medium,hgh,Good
1274,Chilli,Black,31,Clayey,Black,Low,High,low,Poor
1275,Tomato,Black,31,Clayey,Black,Low,High,low,Poor
1276,Potato,Black,31,Clayey,Black,Low,High,low,Average
1277,Potato,Alluvial,31,Loamy,Brown,Medium,Medium,low,Poor
1278,Chilli,Black,31,Clayey,Black,Low,High,low,Good
1279,Tomato,Black,31,Clayey,Black,Low,High,low,Good
1280,Potato,Black,33,Clayey,Black,Low,High,low,Poor
1281,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Average
1282,Chilli,Black,36,Clayey,Black,Low,High,low-,Average
1283,Tomato,Black,36,Clayey,Black,Low,High,low,Good
1284,Potato,Black,36,Clayey,Black,Low,High,low-,Poor
1285,Potato,Alluvial,36,Loamy,Brown,Medium,Medium,low,Poor
1286,Chilli,Black,33,Clayey,Black,Low,High,low-,Average
1287,Tomato,Black,33,Clayey,Black,Low,High,low-,Good
1288,Potato,Black,33,Clayey,Black,Low,High,low-,Poor
1289,Potato,Alluvial,33,Loamy,Brown,Medium,Medium,low-,Poor
1290,Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
1291,Tomato,Black,26,Clayey,Black,Low,High,nor-,Average
1292,Potato,Black,26,Clayey,Black,Low,High,nor-,Good
1293,Potato,Alluvial,26,Loamy,Brown,Medium,Medium,nor-,Poor
1294,Chilli,Black,26,Clayey,Black,Low,High,nor-,Poor
1295,Tomato,Black,30,Clayey,Black,Low,High,nor,Poor
1296,Potato,Black,30,Clayey,Black,Low,High,nor,Poor
1297,Potato,Alluvial,30,Loamy,Brown,Medium,Medium,low,Average
